CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
20192	BIOL	101	01	M	4.000	Concepts/Apps in Biology I	MWF	08:00 am-08:50 am	40	21	Margaret Elizabeth Grant Burton (P), Jennifer Ann Schepp	01/09-05/02	RHSC 218	 
20193	BIOL	101	02	M	4.000	Concepts/Apps in Biology I	MWF	09:00 am-09:50 am	40	2	Margaret Elizabeth Grant Burton (P), Dorian R McMillan	01/09-05/02	RHSC 239	 
20194	BIOL	101	03	M	4.000	Concepts/Apps in Biology I	TR	08:00 am-09:15 am	40	1	Jennifer Ann Schepp (P)	01/09-05/02	RHSC 218	 
20195	BIOL	101	04	M	4.000	Concepts/Apps in Biology I	MWF	11:00 am-11:50 am	40	-1	Dorian R McMillan (P)	01/09-05/02	RHSC 218	 
20196	BIOL	101	05	M	4.000	Concepts/Apps in Biology I	MW	07:00 pm-08:15 pm	40	14	Jennifer Ann Schepp (P)	01/09-05/02	RHSC 218	 
20197	BIOL	101L	03	M	0.000	Concepts/Apps in Biology I Lab	M	01:30 pm-04:30 pm	24	-1	Brian G Scholtens (P), David Patrick Coles	01/09-05/02	LCTR 339	 
20202	BIOL	101L	05	M	0.000	Concepts/Apps in Biology I Lab	M	04:30 pm-07:30 pm	24	2	Brian G Scholtens (P), David Patrick Coles	01/09-05/02	LCTR 339	 
20198	BIOL	101L	07	M	0.000	Concepts/Apps in Biology I Lab	M	07:30 pm-10:30 pm	24	4	Brian G Scholtens (P), Rebecca Lynn Derex	01/09-05/02	LCTR 339	 
20199	BIOL	101L	13	M	0.000	Concepts/Apps in Biology I Lab	T	01:35 pm-04:30 pm	24	0	Brian G Scholtens (P), Meredith Sonny Smylie	01/09-05/02	LCTR 339	 
20203	BIOL	101L	15	M	0.000	Concepts/Apps in Biology I Lab	T	04:30 pm-07:30 pm	24	0	Brian G Scholtens (P), Meredith Sonny Smylie	01/09-05/02	LCTR 339	 
20200	BIOL	101L	23	M	0.000	Concepts/Apps in Biology I Lab	W	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), Meredith Sonny Smylie	01/09-05/02	LCTR 339	 
